CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,Timestamp,Hour,DayOfWeek,Month,IsWeekend,NOx_NO2_Ratio,Temp_Humidity,CO_Lag1
2.0,1292.0,112.0,9.4,955.0,103.0,1174.0,92.0,1559.0,972.0,13.3,47.7,0.7255,2004-03-10 19:00:00,19.0,2.0,3.0,0,1.119565095699446,634.4100000000001,2.6
2.2,1402.0,88.0,9.0,939.0,131.0,1140.0,114.0,1555.0,1074.0,11.9,54.0,0.7502,2004-03-10 20:00:00,20.0,2.0,3.0,0,1.1491227062173064,642.6,2.0
2.2,1376.0,80.0,9.2,948.0,172.0,1092.0,122.0,1584.0,1203.0,11.0,60.0,0.7867,2004-03-10 21:00:00,21.0,2.0,3.0,0,1.4098359500134467,660.0,2.2
1.6,1272.0,51.0,6.5,836.0,131.0,1205.0,116.0,1490.0,1110.0,11.2,59.6,0.7888,2004-03-10 22:00:00,22.0,2.0,3.0,0,1.1293102474732546,667.52,2.2
1.2,1197.0,38.0,4.7,750.0,89.0,1337.0,96.0,1393.0,949.0,11.2,59.2,0.7848,2004-03-10 23:00:00,23.0,2.0,3.0,0,0.9270832367621628,663.04,1.6
1.2,1185.0,31.0,3.6,690.0,62.0,1462.0,77.0,1333.0,733.0,11.3,56.8,0.7603,2004-03-11 00:00:00,0.0,3.0,3.0,0,0.8051947006240648,641.84,1.2
1.0,1136.0,31.0,3.3,672.0,62.0,1453.0,76.0,1333.0,730.0,10.7,60.0,0.7702,2004-03-11 01:00:00,1.0,3.0,3.0,0,0.8157893663435044,642.0,1.2
0.9,1094.0,24.0,2.3,609.0,45.0,1579.0,60.0,1276.0,620.0,10.7,59.7,0.7648,2004-03-11 02:00:00,2.0,3.0,3.0,0,0.7499998750000207,638.79,1.0
0.6,1010.0,19.0,1.7,561.0,33.0,1705.0,47.0,1235.0,501.0,10.3,60.2,0.7517,2004-03-11 03:00:00,3.0,3.0,3.0,0,0.7021275101856361,620.0600000000001,0.9
0.6499999999999999,1011.0,14.0,1.3,527.0,21.0,1818.0,34.0,1197.0,445.0,10.1,60.5,0.7465,2004-03-11 04:00:00,4.0,3.0,3.0,0,0.6176468771626832,611.05,0.6
0.7,1066.0,8.0,1.1,512.0,16.0,1918.0,28.0,1182.0,422.0,11.0,56.2,0.7366,2004-03-11 05:00:00,5.0,3.0,3.0,0,0.5714283673470116,618.2,0.6499999999999999
0.7,1052.0,16.0,1.6,553.0,34.0,1738.0,48.0,1221.0,472.0,10.5,58.1,0.7353,2004-03-11 06:00:00,6.0,3.0,3.0,0,0.7083331857639196,610.0500000000001,0.7
1.1,1144.0,29.0,3.2,667.0,98.0,1490.0,82.0,1339.0,730.0,10.2,59.6,0.7417,2004-03-11 07:00:00,7.0,3.0,3.0,0,1.1951218054729504,607.92,0.7
2.0,1333.0,64.0,8.0,900.0,174.0,1136.0,112.0,1517.0,1102.0,10.8,57.4,0.7408,2004-03-11 08:00:00,8.0,3.0,3.0,0,1.5535712898597063,619.9200000000001,1.1
2.2,1351.0,87.0,9.5,960.0,129.0,1079.0,101.0,1583.0,1028.0,10.5,60.6,0.7691,2004-03-11 09:00:00,9.0,3.0,3.0,0,1.2772275963140993,636.3000000000001,2.0
1.7,1233.0,77.0,6.3,827.0,112.0,1218.0,98.0,1446.0,860.0,10.8,58.4,0.7552,2004-03-11 10:00:00,10.0,3.0,3.0,0,1.142857026239079,630.72,2.2
1.5,1179.0,43.0,5.0,762.0,95.0,1328.0,92.0,1362.0,671.0,10.5,57.9,0.7352,2004-03-11 11:00:00,11.0,3.0,3.0,0,1.0326085834121104,607.9499999999999,1.7
1.6,1236.0,61.0,5.2,774.0,104.0,1301.0,95.0,1401.0,664.0,9.5,66.8,0.7951,2004-03-11 12:00:00,12.0,3.0,3.0,0,1.0947367268698183,634.6,1.5
1.9,1286.0,63.0,7.3,869.0,146.0,1162.0,112.0,1537.0,799.0,8.3,76.4,0.8393,2004-03-11 13:00:00,13.0,3.0,3.0,0,1.3035713121811328,634.1200000000001,1.6
2.9,1371.0,164.0,11.5,1034.0,207.0,983.0,128.0,1730.0,1037.0,8.0,81.1,0.8736,2004-03-11 14:00:00,14.0,3.0,3.0,0,1.6171873736572364,648.8,1.9
2.2,1310.0,79.0,8.8,933.0,184.0,1082.0,126.0,1647.0,946.0,8.3,79.8,0.8778,2004-03-11 15:00:00,15.0,3.0,3.0,0,1.4603173444192583,662.34,2.9
2.2,1292.0,95.0,8.3,912.0,193.0,1103.0,131.0,1591.0,957.0,9.7,71.2,0.8569,2004-03-11 16:00:00,16.0,3.0,3.0,0,1.4732823302837916,690.64,2.2
2.9,1383.0,150.0,11.2,1020.0,243.0,1008.0,135.0,1719.0,1104.0,9.8,67.6,0.8185,2004-03-11 17:00:00,17.0,3.0,3.0,0,1.7999998666666766,662.48,2.2
4.8,1581.0,307.0,20.8,1319.0,281.0,799.0,151.0,2083.0,1409.0,10.3,64.2,0.8065,2004-03-11 18:00:00,18.0,3.0,3.0,0,1.8609270290776803,661.2600000000001,2.9
6.9,1776.0,461.0,27.4,1488.0,383.0,702.0,172.0,2333.0,1704.0,9.7,69.3,0.8319,2004-03-11 19:00:00,19.0,3.0,3.0,0,2.2267440565846477,672.2099999999999,4.8
6.1,1640.0,401.0,24.0,1404.0,351.0,743.0,165.0,2191.0,1654.0,9.6,67.8,0.8133,2004-03-11 20:00:00,20.0,3.0,3.0,0,2.127272598347115,650.88,6.9
3.9,1313.0,197.0,12.8,1076.0,240.0,957.0,136.0,1707.0,1285.0,9.1,64.0,0.7419,2004-03-11 21:00:00,21.0,3.0,3.0,0,1.7647057525951653,582.4,6.1
1.5,965.0,61.0,4.7,749.0,94.0,1325.0,85.0,1333.0,821.0,8.2,63.4,0.6905,2004-03-11 22:00:00,22.0,3.0,3.0,0,1.1058822228373855,519.88,3.9
1.0,913.0,26.0,2.6,629.0,47.0,1565.0,53.0,1252.0,552.0,8.2,60.8,0.6657,2004-03-11 23:00:00,23.0,3.0,3.0,0,0.8867922855108895,498.55999999999995,1.5
1.7,1080.0,55.0,5.9,805.0,122.0,1254.0,97.0,1375.0,816.0,8.3,58.5,0.6438,2004-03-12 00:00:00,0.0,4.0,3.0,0,1.2577318290998114,485.55000000000007,1.0
1.9,1044.0,53.0,6.4,829.0,133.0,1247.0,110.0,1378.0,832.0,7.7,59.7,0.6308,2004-03-12 01:00:00,1.0,4.0,3.0,0,1.2090907991735638,459.69000000000005,1.7
1.4,988.0,40.0,4.1,718.0,82.0,1396.0,91.0,1304.0,692.0,7.1,61.8,0.6276,2004-03-12 02:00:00,2.0,4.0,3.0,0,0.9010988020770547,438.78,1.9
0.8,889.0,21.0,1.9,574.0,51.5,1680.0,61.5,1187.0,512.0,7.0,62.3,0.6261,2004-03-12 03:00:00,3.0,4.0,3.0,0,0.8373982378214248,436.09999999999997,1.4
0.7,831.0,10.0,1.1,506.0,21.0,1893.0,32.0,1134.0,384.0,6.1,65.9,0.6248,2004-03-12 04:00:00,4.0,4.0,3.0,0,0.656249794921939,401.99,0.8
0.6,847.0,7.0,1.0,501.0,30.0,1895.0,44.0,1155.0,394.0,6.3,65.0,0.6233,2004-03-12 05:00:00,5.0,4.0,3.0,0,0.6818180268595393,409.5,0.7
0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,2004-03-12 06:00:00,6.0,4.0,3.0,0,0.7887322832771432,427.71999999999997,0.6
1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,2004-03-12 07:00:00,7.0,4.0,3.0,0,1.0480768223003054,416.64,0.8
4.4,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,2004-03-12 08:00:00,8.0,4.0,3.0,0,2.1773048101202264,460.63,1.4
3.75,1545.0,205.0,22.1,1353.0,247.0,767.0,131.5,2058.0,1588.0,9.2,56.2,0.6561,2004-03-12 09:00:00,9.0,4.0,3.0,0,1.8783268533591746,517.04,4.4
3.1,1350.0,208.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,2004-03-12 10:00:00,10.0,4.0,3.0,0,1.5327867596076425,550.44,3.75
2.7,1263.0,166.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,2004-03-12 11:00:00,11.0,4.0,3.0,0,1.5104894048608808,549.12,3.1
2.1,1206.0,114.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,2004-03-12 12:00:00,12.0,4.0,3.0,0,1.265486613673751,547.5,2.7
2.5,1252.0,140.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,2004-03-12 13:00:00,13.0,4.0,3.0,0,1.3793102259215322,555.45,2.1
2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,2004-03-12 14:00:00,14.0,4.0,3.0,0,1.3252031442924272,581.9100000000001,2.5
2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,2004-03-12 15:00:00,15.0,4.0,3.0,0,1.5079363882590167,584.6,2.7
2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,2004-03-12 16:00:00,16.0,4.0,3.0,0,1.4833332097222325,591.48,2.9
2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,2004-03-12 17:00:00,17.0,4.0,3.0,0,1.2605040957559583,579.67,2.8
3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,2004-03-12 18:00:00,18.0,4.0,3.0,0,1.3825502427818628,597.96,2.4
3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,2004-03-12 19:00:00,19.0,4.0,3.0,0,1.3931033521997689,624.96,3.9
6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,2004-03-12 20:00:00,20.0,4.0,3.0,0,1.9999998823529481,651.45,3.7
4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,2004-03-12 21:00:00,21.0,4.0,3.0,0,1.8389260510787884,644.93,6.6
3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,2004-03-12 22:00:00,22.0,4.0,3.0,0,1.8201437539464924,650.1,4.4
5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,2004-03-12 23:00:00,23.0,4.0,3.0,0,2.238805803074194,626.6199999999999,3.5
